,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,HUNVFlag,LowIncomeTracts,PovertyRate,LATracts10,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10
7,3081,1074,0,0,1,0,13.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,10435,3694,0,0,0,0,13.8,0,251.8869139,0.02413866,96.41362779999999,0.009239447,65.21062416,0.006249221,24.42190629,0.002340384,136.0241145,0.013035373000000001,110.98068810000001,0.010635428,0.0,0.0,0.0,0.0,0.0,0.0,4.882115755,0.00046786,1.783644396,0.000170929,1.299779601,0.000351862,8.479944879
9,5675,2067,0,14,0,0,12.8,1,2047.1185039999998,0.36072572799999997,689.7267051,0.121537745,539.1005127999999,0.094995685,241.6047054,0.042573516,1594.2823759999999,0.280930815,400.4252353,0.070559513,4.278660071,0.000753949,2.9999999089999996,0.000528634,7.300753491,0.0012864760000000002,37.83147782,0.00666634,41.48355512,0.0073098780000000006,17.30526845,0.008372167,142.73370740000001
10,2894,1085,0,10,0,0,11.0,1,2515.269506,0.869132518,785.6971506,0.271491759,655.7239567,0.22658049600000002,289.1237788,0.099904554,1907.748775,0.659208284,542.3396596,0.187401403,3.000000156,0.001036628,0.0,0.0,16.18106605,0.005591245999999999,45.99999973,0.015894955,34.46810787,0.011910196000000001,15.64327488,0.014417765,159.0992736
11,3320,1306,0,33,1,1,15.5,1,2213.5135010000004,0.666720934,1324.157594,0.398842649,496.8557706,0.14965535300000002,337.5023815,0.10165734400000001,754.9528967,0.22739545100000003,1415.390799,0.42632253,0.0,0.0,0.0,0.0,3.524512712,0.0010616,39.64529752,0.011941355,29.92042938,0.009012178000000001,133.30867369999999,0.10207402300000001,177.57068700000002
12,3804,1510,0,31,0,0,15.6,1,1578.1294560000001,0.41486053,684.5483455,0.179954875,363.4380162,0.09554101400000001,272.28022400000003,0.071577346,1145.0000300000002,0.30099895600000004,385.6214614,0.10137262400000001,2.406899466,0.0006327290000000001,0.0,0.0,26.47160292,0.006958886,18.62946098,0.004897335,9.001554952000001,0.002366339,26.44645454,0.017514208,48.59475954
13,2902,1111,0,6,0,1,28.1,0,31.36283808,0.010807318,17.60720722,0.006067266,5.971431254,0.002057695,6.537916002999999,0.0022529,30.67867075,0.010571561,0.0,0.0,0.0,0.0,0.0,0.0,0.466606714,0.000160788,0.217560676,7.496920000000001e-05,0.0,0.0,0.518804416,0.000466971,2.1346443440000002
14,7826,2727,0,521,0,0,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4736,1740,0,0,0,0,16.0,0,360.83380719999997,0.076189571,93.40269025,0.019721851999999998,86.32698657,0.018227827,50.88683227,0.010744686000000002,351.1971646,0.074154807,1.564939105,0.000330435,0.0,0.0,0.0,0.0,6.506761893999999,0.0013738939999999999,1.564939105,0.000330435,0.564939151,0.00011928600000000001,0.0,0.0,16.56070173
19,13166,4878,0,3,0,0,3.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,5173,1799,0,516,0,0,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,6831,2564,0,49,0,0,7.9,0,472.23099890000003,0.069130581,194.5815169,0.028485071,88.06793804,0.012892393,86.60667032,0.012678476000000001,446.7295945,0.065397393,2.612261116,0.000382413,2.198989188,0.000321913,0.0,0.0,4.243180409,0.000621165,16.44697747,0.0024076970000000003,8.111227606,0.001187414,12.94489604,0.005048711,19.63336965
25,8011,3000,0,11,0,0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,4305,1664,0,15,0,1,26.1,0,0.131121337,3.04579e-05,0.06857641,1.59295e-05,0.026709901,6.2043899999999996e-06,0.018211296000000002,4.2302699999999996e-06,0.125050902,2.9047800000000003e-05,0.004856346,1.12807e-06,0.001214086,2.82018e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.001214086,2.82018e-07,0.001015992,6.10572e-07,0.0061824
29,3715,1389,0,0,0,0,9.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,4487,1842,0,0,0,0,13.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,10632,4159,0,0,0,0,16.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,9131,4030,0,0,0,0,8.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,3412,1484,0,0,0,1,22.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,433,216,0,0,0,0,1.5,1,293.70190160000004,0.678295385,63.76160655,0.147255442,31.4059472,0.072531056,84.36688062,0.19484268,284.056921,0.656020603,1.0,0.0023094689999999998,0.0,0.0,0.0,0.0,2.586988695,0.00597457,6.057992421000001,0.013990745,1.000000045,0.0023094689999999998,0.0,0.0,7.70040783
41,6062,2410,0,36,0,1,21.3,0,177.1542911,0.029223737000000003,82.02742679999999,0.013531413,53.98040155,0.008904718,10.87710091,0.001794309,161.8855665,0.026704976000000002,2.383481531,0.00039318400000000004,2.671123706,0.000440634,0.0,0.0,2.894141564,0.000477424,7.319978081,0.001207519,2.05365458,0.000338775,3.2860601139999996,0.00136351,7.525917362
42,4895,2402,0,0,0,0,12.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,3321,1348,0,0,0,1,20.8,1,550.2191723999999,0.165678763,275.2321649,0.082876292,108.8439834,0.032774461,100.7023416,0.030322897,192.90384630000003,0.058086072,345.6739102,0.104087296,2.12916021,0.00064112,0.069623739,2.09647e-05,4.000000073,0.001204457,5.442636087,0.001638855,6.323693059,0.0019041529999999998,17.73667559,0.013157771,45.23289769
44,4264,1053,0,1724,1,1,28.0,0,64.54920253,0.015138181,37.37529241,0.008765311999999999,12.07051865,0.002830797,8.014078537,0.001879474,24.69442548,0.005791376,37.85477682,0.008877761999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.000000031,0.00046904300000000004,0.0,0.0,4.021729709,0.0038193059999999997,8.245521004
